Restaurant Name,City,Latitude,Longitude,Aggregate rating
Shogun Japanese Steak House,Albany,31.6118,-84.2233,3.5
The Catch Seafood Room & Oyster Bar,Albany,31.605882,-84.205025,3.8
Villa Gargano,Albany,31.5985,-84.1757,3.7
3 Squares Diner,Albany,31.5308,-83.8389,3.4
Whitebull Hotel,Armidale,-30.5147169,151.6688792,3.5
Last Resort Grill,Athens,33.957999,-83.378273,4.5
Mama's Boy Restaurant,Athens,33.9535,-83.3654,4.5
Sr. Sol 1,Athens,33.9652,-83.4293,4.6
Choo Choo Eastside,Athens,33.9259,-83.3389,3.9
The Grill,Athens,33.958198,-83.375523,3.7
Big City Bread Cafe,Athens,33.959392,-83.384004,4.3
Clocked,Athens,33.9584,-83.3797,4.2
DePalma's Italian Cafe - Downtown,Athens,33.958112,-83.373596,4.0
DePalma's Italian Cafe - East Side,Athens,33.924275,-83.33995,4.1
Five & Ten,Athens,33.9415545,-83.3872482,4.3
Grit,Athens,33.960112,-83.381625,4.2
Ike & Jane,Athens,33.963296,-83.400887,4.1
La Dolce Vita Ristorante,Athens,33.9584,-83.4075,4.1
Shokitini,Athens,33.957503,-83.379251,4.2
Taqueria Del Sol,Athens,33.960571,-83.383605,4.1
The National,Athens,33.959468,-83.37967,4.1
The Royal Peasant,Athens,33.937502,-83.38728,4.4
Transmetropolitan,Athens,33.9584,-83.3764,4.4
Trappeze Pub,Athens,33.958363,-83.378881,4.2
Viva! Argentine Cuisine,Athens,33.9600227,-83.3828224,4.1
Miyabi Kyoto Japanese Steak House,Augusta,33.4721,-82.0865,4.6
Rae's Coastal Cafe,Augusta,33.4791,-82.0698,4.9
The Bee's Knees,Augusta,33.4765,-81.97,4.5
Boll Weevil Cafe,Augusta,33.474,-81.9684,3.9
Farmhaus Burger,Augusta,33.477444,-81.973006,3.9
Manuel's Bread Cafe,Augusta,33.481779,-81.965571,3.8
Sconyers Bar B Que,Augusta,33.4086,-82.0327,3.5
Frog Hollow Tavern,Augusta,33.478231,-81.974944,4.3
Giuseppe's Pizza & Italian Specialities,Augusta,33.4827,-82.096,4.1
Mellow Mushroom,Augusta,33.4778,-81.9721,4.4
Nacho Mamas Burritos,Augusta,33.4764,-81.9694,4.0
Rhinehart's Oyster Bar,Augusta,33.5133,-82.0505,4.0
Takosushi,Augusta,33.4848,-82.0301,4.2
The Chop House,Augusta,33.467201,-82.080788,4.0
The Taj of India,Augusta,33.5375868,-82.0805493,4.0
Augsburg Haus,Augusta,33.544342,-82.143793,3.9
Pho Bac,Augusta,33.532249,-82.126161,4.1
Rhinehart's Oyster Bar,Augusta,33.521291,-82.141284,4.0
Thai Kitchen,Augusta,33.5406,-82.1328,4.3
El Kiosco Mexican Restaurant,Augusta,33.4574,-82.1997,4.2
Taste of Balingup,Balingup,-33.7845269,115.9844924,3.2
Bridge Road Brewers,Beechworth,-36.360439,146.685852,4.6
Bardenay,Boise,43.6138,-116.2019,4.5
Flatbread Neapolitan Pizzeria,Boise,43.616068,-116.203466,4.6
Goldy's Breakfast Bistro,Boise,43.6149,-116.2023,4.5
Chandlers Steakhouse,Boise,43.6157,-116.2064,3.9
Bar Gernika Basque Pub & Eatery,Boise,43.614,-116.2031,4.3
Barbacoa Restaurant,Boise,43.597235,-116.185034,4.1
Big Jud's,Boise,43.5945,-116.2062,4.2
Bittercreek Ale House,Boise,43.6167,-116.2022,4.3
Boise Fry Company,Boise,43.610279,-116.193409,4.4
Flying Pie Pizzaria,Boise,43.6192,-116.2625,4.1
Fork,Boise,43.616295,-116.202845,4.4
Guido's Original New York Style Pizza,Boise,43.615,-116.199,4.3
Los Beto's,Boise,43.6191,-116.2463,4.4
Lucianos Italian Restaurant,Boise,43.6051379,-116.245165,4.4
Mai Thai Restaurant,Boise,43.6162,-116.2021,4.0
Shige Japanese Cuisine,Boise,43.6156,-116.2031,4.1
The Egg Factory,Boise,43.619274,-116.281809,4.3
Tucanos,Boise,43.591706,-116.280614,4.0
Texas Roadhouse,Boise,43.619108,-116.347304,4.0
Brick 29,Boise,43.5777,-116.5629,4.4
Winifreds,Cedar Rapids/Iowa City,42.0179,-91.6336,3.7
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,42.0281,-91.6327,4.1
El Super Burrito,Cedar Rapids/Iowa City,41.9748,-91.7148,4.1
Granite City Food & Brewery,Cedar Rapids/Iowa City,42.0249,-91.6224,4.1
Irish Democrat,Cedar Rapids/Iowa City,42.01,-91.6347,4.4
Taste of India,Cedar Rapids/Iowa City,42.0215347,-91.6499622,4.2
Thai Moon Restaurant,Cedar Rapids/Iowa City,41.9639,-91.7266,4.2
Ting's Red Lantern,Cedar Rapids/Iowa City,42.0468,-91.6394,4.2
Monica's,Cedar Rapids/Iowa City,41.670466,-91.569767,3.8
Exotic India,Cedar Rapids/Iowa City,41.6685,-91.5687,4.1
Shorts Burger and Shine,Cedar Rapids/Iowa City,41.660982,-91.534424,4.9
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,41.663849,-91.531414,4.5
Bluebird Diner,Cedar Rapids/Iowa City,41.663751,-91.531093,3.6
Graze,Cedar Rapids/Iowa City,41.658691,-91.534302,3.8
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,41.6648,-91.5314,4.3
Atlas World Grill,Cedar Rapids/Iowa City,41.661,-91.5341,4.3
BlackStone,Cedar Rapids/Iowa City,41.667742,-91.482165,4.1
Devotay,Cedar Rapids/Iowa City,41.6625,-91.5318,4.0
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,41.6428,-91.5074,4.2
Zoeys Pizzeria,Cedar Rapids/Iowa City,42.0331,-91.5995,4.7
Tokyo Sushi,Chatham-Kent,42.397683,-82.188438,3.7
Berry Patch Restaurant,Clatskanie,46.126967,-123.368151,4.3
Sakura Sushi & Grill,Cochrane,51.183934,-114.472474,3.1
Uptown Vietnam cuisine,Columbus,32.470315,-84.992671,3.3
Cafe Le Rue @ The Landings,Columbus,32.519247,-84.95591,4.6
Mark's City Grille,Columbus,32.555591,-84.927047,4.5
B Merrell's,Columbus,32.5577,-84.9436,3.8
Cannon Brewpub,Columbus,32.4656,-84.9936,3.9
Fuji Japanese Steak House,Columbus,32.5382197,-84.954984,3.9
Ruth Ann's Family Restaurant,Columbus,32.4637,-84.9876,3.7
Samurai Japanese Cuisine & Sushi Bar,Columbus,32.4652417,-84.9933631,3.6
Wasabi Sushi and Thai,Columbus,32.534002,-84.96661,3.7
Buckhead Bar and Grill,Columbus,32.513154,-84.95367,4.2
Burt's Butcher Shoppe and Eatery,Columbus,32.504657,-84.947569,4.3
Chef Lee's Peking Restaurant,Columbus,32.5393,-84.9607,4.0
Country's Barbecue,Columbus,32.4792,-84.9464,4.0
Deorio's,Columbus,32.481,-84.9427,4.0
Mellow Mushroom,Columbus,32.5321,-84.9557,4.1
Meritage,Columbus,32.466158,-84.992093,4.1
Mongo The Mongolian Fire Pit,Columbus,32.560905,-84.938698,4.2
The Black Cow,Columbus,32.468757,-84.991384,4.3
Wood Stone,Columbus,32.527217,-84.963201,4.0
Hunter's Pub,Columbus,32.7455,-85.0213,4.4
Consort Restaurant,Consort,52.0082889,-110.7746994,3.0
Thatcher's Barbeque and Grill,Dalton,34.5251331,-84.9396931,3.7
Christian and Jake's Bistro,Dalton,34.474635,-84.926258,4.4
Dub's High on the Hog,Dalton,34.4972488,-84.9523921,4.4
Sierra's Mexican Restaurant,Dalton,34.752476,-84.767911,3.9
Oakwood Cafe,Dalton,34.769686,-84.969393,4.9
Chili's Grill & Bar,Dalton,34.7643,-85.0039,3.8
Fuji Japanese Steakhouse,Dalton,34.759551,-84.992342,3.8
Las Palmas,Dalton,34.759665,-84.992924,3.8
Tony's Italian Restaurant & Pizza,Dalton,34.758645,-84.999678,3.7
Filling Station,Dalton,34.7742,-84.9678,4.1
Five Guys Burgers and Fries,Dalton,34.759273,-84.990925,4.1
Los Pablos,Dalton,34.7604,-84.9964,4.1
Kobe Hibachi & Sushi,Dalton,34.9428786,-85.2229101,4.6
Soho Hibachi,Dalton,34.9528157,-85.246237,4.3
Thai Garden,Dalton,34.9546,-85.2545,4.2
Southern Bliss Bakery,Dalton,34.705093,-85.294955,3.7
Bailey's Bar-B-Que,Dalton,34.9273,-85.1321,4.1
Farm To Fork,Dalton,34.912109,-85.130492,4.3
Home Plate Grill,Dalton,34.9151853,-85.1079396,4.2
Pie Slingers Pizzeria,Dalton,34.851907,-85.249727,4.1
Olive Tree Cafe,Davenport,41.574935,-90.496986,4.6
"Red Ginger Sushi, Grill & Bar",Davenport,41.53845,-90.522479,4.5
Crust Stone Oven Pizza,Davenport,41.5747801,-90.4912446,3.9
Jimmy's Pancake House,Davenport,41.548746,-90.504176,4.0
Trattoria Tiramisu,Davenport,41.525384,-90.50709,4.1
Prairie Grille at SteepleGate Inn,Davenport,41.593892,-90.574088,3.4
Tantra Asian Bistro,Davenport,41.574459,-90.565837,4.9
Chick-fil-A,Davenport,41.5604,-90.5716,3.9
Duck City Bistro,Davenport,41.5223,-90.5737,3.7
Frick's Tap,Davenport,41.52253634,-90.59466452,0.0
Los Agaves,Davenport,41.5709434,-90.5154313,0.0
Azteca,Davenport,41.5699,-90.5683,4.3
China Cafe,Davenport,41.5749,-90.5321,4.0
Exotic Thai Restaurant,Davenport,41.5747,-90.5432,4.1
Front Street Brewery,Davenport,41.520389,-90.572418,4.3
Granite City Food & Brewery,Davenport,41.5745,-90.5137,4.0
Los Agaves,Davenport,41.559,-90.5686,4.1
Machine Shed Restaurant,Davenport,41.5944,-90.6136,4.1
Osaka,Davenport,41.570997,-90.515175,4.2
Texas Roadhouse,Davenport,41.5747,-90.517,4.2
Hickory Park,Des Moines,42.010254,-93.610084,4.5
The Cafe,Des Moines,42.048779,-93.643094,4.9
Flying Mango,Des Moines,41.614965,-93.677638,4.5
Cool Basil,Des Moines,41.600564,-93.739573,4.1
HuHot Mongolian Grill,Des Moines,41.60028,-93.760027,4.0
Malo,Des Moines,41.583309,-93.627896,3.2
Centro,Des Moines,41.5857431,-93.6300803,4.5
Fong's Pizza,Des Moines,41.585465,-93.621631,4.6
A Dong Restaurant,Des Moines,41.587219,-93.637401,4.4
Court Avenue Brewing Company,Des Moines,41.58536,-93.620726,4.2
Django,Des Moines,41.584027,-93.629436,4.3
Miyabi 9,Des Moines,41.590819,-93.611366,4.8
Zombie Burger + Drink Lab,Des Moines,41.590106,-93.61474,4.2
Tursi's Latin King,Des Moines,41.601415,-93.577383,4.1
Tsing Tsao South,Des Moines,41.545869,-93.645245,4.1
Bandit Burrito,Des Moines,41.6714654,-93.6976773,4.0
Jethro's BBQ,Des Moines,41.603901,-93.659797,4.3
The Machine Shed Restaurant,Des Moines,41.615083,-93.772033,3.8
Mi Patria,Des Moines,41.594039,-93.73624,4.0
Waterfront Seafood Market,Des Moines,41.5991771,-93.7441981,4.2
The Giggling Goat,Dicky Beach,-26.783576,153.137401,3.6
Burnt Toast Cafe,Dubuque,42.504759,-90.667668,3.4
Catfish Charlie's,Dubuque,42.5124724,-90.6499328,3.3
Salsa's Mexican Restaurant,Dubuque,42.5032004,-90.6684746,3.4
Tony Roma's,Dubuque,42.496464,-90.658609,3.3
Vinny Vanucchi's,Dubuque,42.495689,-90.664029,3.4
Champps Americana,Dubuque,42.492018,-90.715247,3.5
Fiesta Cancun,Dubuque,42.49092,-90.740213,3.6
Happy Joe's Pizza & Ice Cream,Dubuque,42.4955,-90.7264,3.5
Houlihan's,Dubuque,42.516621,-90.645294,3.6
Ichiban Hibachi Steakhouse & Sushi Bar,Dubuque,42.492963,-90.712084,3.7
Kalmes Breaktime Bar & Grill,Dubuque,42.5043,-90.6646,3.6
L. May Eatery,Dubuque,42.503075,-90.668164,3.8
Los Aztecas,Dubuque,42.4916,-90.7055,3.5
Manna Java World Cafe,Dubuque,42.500191,-90.6677349,3.5
Mario's Italian Restaurant,Dubuque,42.5048,-90.6691,3.6
Pepper Sprout Incorporated,Dubuque,42.4974,-90.6651,3.6
Shot Tower Inn,Dubuque,42.4963,-90.6658,3.6
Sunshine Family Restaurant,Dubuque,42.4982789,-90.663686,3.5
Watershed Cafe,Dubuque,42.527556,-90.684882,3.7
Woodfire Grille,Dubuque,42.496378,-90.658988,3.6
The Belle General,East Ballina,-28.862663,153.593331,4.1
Jehova es Mi Pastor Tacos y Burritos,Fernley,39.607515,-119.252694,3.7
Flaxton Gardens,Flaxton,-26.6521332,152.8771473,3.5
Bespoke Harvest,Forrest,-38.517292,143.714315,3.7
Houndstooth Grill & Tavern,Gainesville,34.0901,-83.8461,4.4
Hawg Wild BBQ & Catfish House,Gainesville,34.61802,-83.520693,4.1
Bourbon Street Grille,Gainesville,34.532973,-83.985353,3.8
Corkscrew Cafe,Gainesville,34.5318,-83.9858,3.9
Smokin Gold BBQ,Gainesville,34.533626,-83.983939,3.9
Hoka-Hoka Japanese Steak & Sushi,Gainesville,34.541044,-83.989317,4.4
Shenanigan's Irish Pub,Gainesville,34.533198,-83.986119,4.1
Fish Tales Lakeside Grille,Gainesville,34.183573,-83.938024,3.8
Antebellum,Gainesville,34.185707,-83.926217,4.3
Moonie's Texas Barbecue,Gainesville,34.180043,-83.927794,4.1
Atlanta Highway Seafood Market,Gainesville,34.285102,-83.838457,4.9
Eat at Thai,Gainesville,34.300182,-83.857993,4.6
Smoke House BBQ and Catering,Gainesville,34.222755,-83.860098,3.8
2 Dog,Gainesville,34.300567,-83.824023,4.2
Longstreet Cafe,Gainesville,34.3166,-83.8272,4.3
Re-Cess,Gainesville,34.300332,-83.82686,4.2
Bodensee,Gainesville,34.701594,-83.727741,3.8
Hofer's Bakery & Cafe,Gainesville,34.7024,-83.7345,3.9
Troll Tavern,Gainesville,34.7021,-83.7334,2.2
The Nacoochee Village Tavern & Pizzeria,Gainesville,34.691208,-83.713498,4.0
Blue Bean Love Cafe,Hepburn Springs,-37.3123267,144.1387014,3.8
La Trattoria of Lavandula,Hepburn Springs,-37.275494,144.110062,3.8
5 Little Pigs,Huskisson,-35.0388698,150.6710743,4.1
Beach Box Cafe,Inverloch,-38.6347458,145.7287133,3.7
Funkey Monkey,Lakes Entrance,-37.8783865,147.9942247,3.8
Burger Queen Drive In,Lakeview,42.1885,-120.3458,3.6
Blue Orchid Thai Restaurant,Lincoln,40.8143,-96.7072,4.5
Stillwater on Belmore,Lorn,-32.728097,151.558475,3.6
Mr.,Macedon,-37.423189,144.564174,3.5
Emilio's Cuban Cafe,Macon,32.567741,-83.594494,3.9
Ingleside Village Pizza,Macon,32.853896,-83.657061,4.9
Jim Shaw's Seafood Grill & Bar,Macon,32.8496,-83.6737,4.6
Mandarin Chinese Restaurant,Macon,32.8899,-83.6766,4.5
Rookery,Macon,32.8361,-83.6279,4.5
Dovetail,Macon,32.83641,-83.627979,3.8
Bonefish Grill,Macon,32.929278,-83.713978,4.1
Downtown Grill,Macon,32.8375,-83.6276,4.0
Greek Corner Deli,Macon,32.83654,-83.628703,4.3
Natalia's,Macon,32.928495,-83.787993,4.2
Papouli's Mediterranean Cafe & Market,Macon,32.901,-83.6873,4.2
Benson's Steak and Sushi,Macon,32.556873,-83.662421,3.7
My Fathers Place,Macon,32.5786,-83.624,3.7
Sushi Thai Restaurant,Macon,32.6184,-83.6665,3.7
The Mellow Mushroom,Macon,32.552684,-83.691044,3.8
El Jalisciense Mexican Restaurant,Macon,32.594666,-83.64935,4.1
Greek Village,Macon,32.6176839,-83.636618,4.0
Martin's BBQ,Macon,32.619321,-83.600201,4.2
Thai Pepper,Macon,32.593264,-83.665557,4.0
Zen Japanese Steakhouse and Sushi Bar,Macon,32.6147,-83.7184,4.1
Star Buffet,Mayfield,-32.899178,151.7343832,2.9
Triangle Restaurant,Mc Millan,46.3718,-85.7363,2.4
Three Anchors,Middleton Beach,-35.025861,117.917166,3.8
HI Lite Bar & Lounge,Miller,44.5158,-98.9891,3.4
Vince's Restaurant & Pizzeria,Monroe,42.606306,-89.653487,3.6
Poets Cafe,Montville,-26.690462,152.893735,2.4
The Artesian Restaurant,Ojo Caliente,36.313638,-106.057666,3.6
Cev�_che Tapas Bar & Restaurant,Orlando,28.540432,-81.381077,4.4
'Ohana,Orlando,28.405437,-81.585226,4.5
Earl of Sandwich,Orlando,28.372858,-81.514608,4.7
Raglan Road Irish Pub and Restaurant,Orlando,28.371338,-81.517725,4.3
Caf�� Tu Tu Tango,Orlando,28.440344,-81.469986,4.6
Texas de Brazil,Orlando,28.4676808,-81.4510725,4.6
Bahama Breeze Island Grille,Orlando,28.437065,-81.471526,4.3
Maggiano's Little Italy,Orlando,28.433235,-81.471447,4.4
Hawkers Asian Street Fare,Orlando,28.560505,-81.364347,4.6
Tako Cheena by Pom Pom,Orlando,28.557845,-81.364547,4.4
Seasons 52 Fresh Grill,Orlando,28.448175,-81.487978,4.4
Hollerbach's Willow Tree Caf��,Orlando,28.811653,-81.266871,4.8
Pom Pom's Teahouse and Sandwicheria,Orlando,28.543571,-81.351467,4.9
Yellow Dog Eats,Orlando,28.527592,-81.522987,4.9
Tibby's New Orleans Kitchen,Orlando,28.601088,-81.322631,4.7
The Coop,Orlando,28.597366,-81.357219,3.6
Bosphorous Turkish Cuisine,Orlando,28.5976271,-81.3508344,4.2
Ethos Vegan Kitchen,Orlando,28.592857,-81.352921,4.4
Hillstone,Orlando,28.596682,-81.36526,4.4
The Ravenous Pig,Orlando,28.593297,-81.356024,4.4
Vivo Bar and Grill,Palm Cove,-16.748083,145.670768,4.4
Pier 70,Paynesville,-37.9194154,147.7227832,2.6
DiVine,Penola,-37.379153,140.837409,3.4
Cactus Flower Cafe Navarre,Pensacola,30.4025979,-86.8573393,4.2
McGuire's Irish Pub & Brewery,Pensacola,30.4179,-87.2027,4.9
New Yorker Deli & Pizzeria,Pensacola,30.4251,-87.1819,4.6
Tu-Do Vietnamese Restaurant,Pensacola,30.4982,-87.2216,4.5
Carrabba's Italian Grill,Pensacola,30.417318,-87.205855,3.7
Jaco's Bayfront Bar and Grille,Pensacola,30.403034,-87.213274,3.9
The Tin Cow,Pensacola,30.4116106,-87.2150874,3.7
Cactus Flower Cafe,Pensacola,30.4473322,-87.2080932,4.2
Dharma Blue,Pensacola,30.4101,-87.2092,4.1
Global Grill,Pensacola,30.411878,-87.2153054,4.4
Ichiban,Pensacola,30.4767,-87.2252,4.3
The Fish House,Pensacola,30.407358,-87.211082,4.0
Tuscan Oven,Pensacola,30.4692,-87.214,4.1
Flounders Chowder House,Pensacola,30.3359,-87.143,3.9
Hemingway's Island Grill,Pensacola,30.335521,-87.142602,3.5
Native Cafe,Pensacola,30.334776,-87.132932,4.2
Peg Leg Pete's,Pensacola,30.327864,-87.164376,4.4
The Grand Marlin,Pensacola,30.34262,-87.149178,4.3
Original Georgios Authentic Greek Food,Pensacola,30.3199824,-87.4218962,4.7
Fisherman's Corner,Pensacola,30.308468,-87.427707,4.4
Mad Cowes Cafe,Phillip Island,-38.448307,145.237813,3.7
Rupes Burgers,Pocatello,43.1903,-112.3415,3.7
Texas Roadhouse,Pocatello,42.910518,-112.461326,3.5
Riverwalk Cafe,Pocatello,42.62,-112.0132,3.6
Royal Hotel,Pocatello,42.6192,-112.0127,3.6
Buddy's Italian Restaurant,Pocatello,42.8661,-112.4423,3.7
Butterburrs,Pocatello,42.8919,-112.4516,3.6
Chang Garden,Pocatello,42.8928,-112.441,3.5
Fifth Street Bagelry,Pocatello,42.8631,-112.4397,3.8
Goody's Deli,Pocatello,42.8604,-112.4365,3.8
Grecian Key Restaurant,Pocatello,42.8639,-112.4524,3.7
Outer Limits Fun Zone,Pocatello,42.878077,-112.459988,3.5
Portneuf Valley Brewing,Pocatello,42.860024,-112.443213,3.7
Sandpiper Restaurant & Lounge,Pocatello,42.9012,-112.432,3.6
Senor Iguanas,Pocatello,42.8942,-112.4433,3.6
Sushi Family,Pocatello,42.88245,-112.452013,3.6
Taste of India Nepal,Pocatello,42.863969,-112.45253,3.8
Thai Paradise,Pocatello,42.861871,-112.450106,3.7
The Bridge,Pocatello,42.8585987,-112.4413856,3.6
Nosh Mahal,Pocatello,42.891174,-112.44853,0.0
El Herradero,Pocatello,42.8774,-112.4419,4.1
Barrett Junction Cafe,Potrero,32.613431,-116.704731,3.3
Blue Point Grill,Princeton,40.352385,-74.651139,4.0
Giovanni's Shrimp Truck,Rest of Hawaii,21.677078,-157.948486,4.5
Kona Brewing Company,Rest of Hawaii,19.642752,-155.997362,4.7
Leonard's Bakery,Rest of Hawaii,21.284586,-157.813432,4.7
Coconuts Fish Cafe,Rest of Hawaii,20.748838,-156.455284,4.5
Kihei Caffe,Rest of Hawaii,20.731487,-156.451847,4.5
Monkeypod Kitchen by Merriman,Rest of Hawaii,20.6883746,-156.4309473,4.2
Sansei Seafood Restaurant & Sushi Bar,Rest of Hawaii,20.733554,-156.452556,4.2
Star Noodle,Rest of Hawaii,20.885226,-156.674835,4.6
Aloha Mixed Plate,Rest of Hawaii,20.886564,-156.684967,4.2
Gazebo,Rest of Hawaii,20.992316,-156.667037,4.4
Hula Grill,Rest of Hawaii,20.921347,-156.693821,4.3
Kimo's,Rest of Hawaii,20.876127,-156.680666,4.3
